date,doses,doses_first,doses_second,pfizer_cumul,moderna_cumul,astrazeneca_cumul,persons_first_cumul,persons_full_cumul
2020-12-27,24355,24344,11,24349,6,0,24344,11
2020-12-28,18106,18042,64,42455,6,0,42386,75
2020-12-29,50732,50079,652,93186,6,1,92465,727
2020-12-30,64133,64101,32,157319,6,1,156566,759
2020-12-31,50014,49927,87,207333,6,1,206493,846
2021-01-01,25516,25505,10,232839,12,4,231998,857
2021-01-02,48087,48009,78,280926,12,4,280007,935
2021-01-03,22562,22557,5,303486,14,4,302564,940
2021-01-04,46188,46089,99,349646,25,4,348653,1056
2021-01-05,52702,52615,87,402347,26,4,401268,1143
2021-01-06,63162,63076,86,465500,32,7,464344,1229
2021-01-07,54799,54779,20,520291,37,9,519123,1250
2021-01-08,62832,62729,103,583070,88,11,581852,1353
2021-01-09,60739,60594,145,643805,91,12,642446,1498
2021-01-10,35993,35880,113,679788,100,13,678326,1611
2021-01-11,68279,68225,54,748051,114,15,746551,1665
2021-01-12,79141,79079,62,827171,131,18,825630,1728
2021-01-13,112194,111993,201,938186,1310,18,937623,1929
2021-01-14,84125,83912,213,1017150,6471,18,1021535,2142
2021-01-15,91807,90889,918,1103658,11749,37,1112424,3062
2021-01-16,58078,56857,1221,1160047,13436,38,1169281,4284
2021-01-17,47806,30796,17010,1206589,14698,39,1200077,21295
2021-01-18,82988,67375,15613,1285318,18956,40,1267452,36908
2021-01-19,119702,83653,36049,1401202,22723,91,1351105,72957
2021-01-20,132778,79011,53767,1531137,25562,95,1430116,126724
2021-01-21,105542,64619,40922,1633860,28379,97,1494735,167646
2021-01-22,102335,68749,33586,1733990,30571,110,1563484,201232
2021-01-23,87050,40506,46544,1820682,30926,113,1603990,247776
2021-01-24,47825,25689,22136,1868304,31125,117,1629679,269912
2021-01-25,91015,52278,38737,1957865,32576,120,1681957,308649
2021-01-26,98411,50675,47732,2054829,34016,127,1732632,356381
2021-01-27,109428,50946,58482,2162456,35808,135,1783578,414864
2021-01-28,92535,46817,45718,2253359,37437,138,1830395,460582
2021-01-29,107718,49828,57890,2359524,38919,209,1880223,518472
2021-01-30,88112,34616,53496,2446749,39801,212,1914839,571970
2021-01-31,57228,25760,31468,2503594,40179,217,1940599,603438
2021-02-01,120167,58282,61884,2621491,42394,272,1998881,665322
2021-02-02,132822,65538,67284,2751158,45527,294,2064419,732606
2021-02-03,162989,64589,98400,2907724,51924,320,2129008,831006
2021-02-04,134589,62080,72508,3036408,57821,328,2191088,903514
2021-02-05,147563,69376,78187,3177492,64292,336,2260464,981701
2021-02-06,94155,45604,48551,3269013,66925,337,2306068,1030252
2021-02-07,53571,28292,25279,3320246,69260,339,2334360,1055532
2021-02-08,109493,53040,56453,3425871,73097,369,2387400,1111986
2021-02-09,134604,60243,74360,3556844,76541,556,2447643,1186346
2021-02-10,155519,77785,77734,3699677,80833,8949,2525428,1264081
2021-02-11,144561,75558,69003,3820521,88152,25345,2600986,1333086
2021-02-12,156234,80263,75971,3952964,97527,39758,2681249,1409060
2021-02-13,107856,62052,45804,4044138,100793,53173,2743301,1454865
2021-02-14,65465,39630,25835,4099819,103275,60474,2782931,1480701
2021-02-15,125853,70176,55677,4204788,108598,76024,2853107,1536389
2021-02-16,134832,78363,56469,4313707,114815,95719,2931470,1592859
2021-02-17,151872,95424,56448,4436547,122878,116687,3026894,1649308
2021-02-18,144873,91536,53336,4549172,131167,140641,3118430,1702649
2021-02-19,159086,103154,55932,4670559,141209,168297,3221584,1758582
2021-02-20,112502,76174,36328,4757231,145685,189649,3297758,1794912
2021-02-21,86017,57713,28304,4823788,149332,205461,3355471,1823217
2021-02-22,156681,98298,58383,4947400,158407,229454,3453769,1881601
2021-02-23,170591,110005,60586,5081726,165773,258352,3563774,1942188
2021-02-24,177051,117605,59445,5213840,173435,295626,3681379,2001634
2021-02-25,190311,130950,59360,5345802,180226,347184,3812329,2060994
2021-02-26,214059,146417,67641,5487720,189107,410444,3958746,2128635
2021-02-27,148109,108296,39813,5580483,193196,461700,4067042,2168449
2021-02-28,103497,79288,24196,5642136,197161,499577,4146330,2192647
2021-03-01,199392,149368,50024,5773211,206874,558181,4295698,2242671
2021-03-02,220175,167915,52260,5914132,216991,627318,4463613,2294931
2021-03-03,248546,177752,70794,6072762,232177,702048,4641365,2365725
2021-03-04,245912,182563,63348,6214726,246696,791477,4823928,2429073
2021-03-05,275640,208187,67452,6363252,260093,905193,5032115,2496526
2021-03-06,202853,154112,48741,6472704,268958,989729,5186227,2545267
2021-03-07,147887,114359,33528,6552590,275641,1051047,5300586,2578795
2021-03-08,238288,186419,51869,6687029,286631,1143906,5487005,2630664
2021-03-09,253022,198055,54966,6827592,299435,1243561,5685060,2685630
2021-03-10,289950,222483,67465,6987478,311692,1361367,5907543,2753096
2021-03-11,285167,224199,60967,7135478,325472,1484754,6131742,2814063
2021-03-12,327691,256567,71124,7287370,342807,1643218,6388309,2885187
2021-03-13,241278,190883,50395,7403687,352400,1758586,6579192,2935582
2021-03-14,170453,134752,35699,7491941,357922,1835263,6713944,2971281
2021-03-15,248942,189628,59314,7645199,370681,1918188,6903572,3030595
2021-03-16,179528,111201,68327,7812218,381991,1919387,7014773,3098922
2021-03-17,205868,124687,81181,7999271,400054,1920139,7139460,3180103
2021-03-18,194054,118245,75809,8173928,418283,1921307,7257705,3255912
2021-03-19,245909,161240,84668,8360229,439159,1960039,7418945,3340580
2021-03-20,220857,167454,53402,8495905,454508,2029871,7586399,3393982
2021-03-21,164920,126595,38325,8598362,463722,2083119,7712994,3432308
2021-03-22,269973,193245,76725,8765294,487603,2162279,7906239,3509033
2021-03-23,301699,217307,84392,8947487,507386,2262001,8123546,3593426
2021-03-24,340413,250715,89698,9148444,540581,2368260,8374261,3683126
2021-03-25,333933,252561,81371,9334889,568301,2488027,8626822,3764498
2021-03-26,375466,286405,89060,9535408,605660,2625613,8913227,3853560
2021-03-27,281927,219443,62484,9685274,633370,2729962,9132670,3916046
2021-03-28,196768,143428,53340,9800802,651935,2792636,9276098,3969387
2021-03-29,306508,217527,88981,9990032,676965,2884884,9493625,4058368
2021-03-30,329942,236996,92944,10209277,701492,2971054,9730621,4151312
2021-03-31,337796,235855,101940,10458031,737728,3023860,9966476,4253252
2021-04-01,328463,237182,91281,10698542,770255,3079284,10203658,4344534
2021-04-02,226224,158105,68118,10878470,784674,3111161,10361763,4412652
2021-04-03,232501,167820,64681,11053100,800525,3153181,10529583,4477333
2021-04-04,193441,142852,50589,11185661,810602,3203982,10672435,4527924
2021-04-05,248469,178044,70421,11351058,828494,3269162,10850479,4598345
2021-04-06,374345,279441,94899,11606373,860741,3355943,11129920,4693246
2021-04-07,669130,572584,96545,12149225,897873,3445089,11702504,4789791
2021-04-08,700202,612291,87908,12721810,933581,3536997,12314795,4877700
2021-04-09,633417,544263,89154,13213091,970334,3642378,12859058,4966856
2021-04-10,373100,307946,65154,13461837,993604,3743462,13167004,5032010
2021-04-11,264318,213878,50440,13632464,1012299,3818458,13380882,5082450
2021-04-12,419440,342939,76499,13911674,1041585,3929401,13723821,5158950
2021-04-13,577783,503968,73813,14344469,1068933,4047041,14227789,5232763
2021-04-14,776708,693329,83377,14962305,1102541,4172305,14921118,5316140
2021-04-15,682214,611872,70342,15497895,1138805,4282664,15532990,5386483
2021-04-16,598380,523994,74384,15937395,1171494,4408855,16056984,5460867
2021-04-17,366587,309880,56706,16162519,1194214,4527598,16366864,5517573
2021-04-18,269951,230864,39085,16334794,1209632,4609856,16597728,5556658
2021-04-19,403523,341958,61561,16629523,1242627,4685654,16939686,5618220
2021-04-20,562219,499282,62935,17012537,1281948,4825536,17438968,5681157
2021-04-21,722575,649145,73429,17468028,1323706,5050862,18088113,5754586
2021-04-22,639950,572541,67406,17850753,1367428,5264365,18660654,5821992
2021-04-23,557539,488296,69242,18204873,1411081,5424130,19148950,5891235
2021-04-24,366326,307165,59161,18440182,1460496,5505732,19456115,5950396
2021-04-25,283450,234255,49195,18628189,1494226,5567445,19690370,5999591
2021-04-26,434105,359977,74128,18946838,1536785,5640271,20050347,6073790
2021-04-27,786790,695154,91630,19624526,1588364,5697241,20745501,6165973
2021-04-28,1124781,998220,126560,20633934,1649174,5750969,21743721,6293368
2021-04-29,948031,814938,133091,21459552,1713189,5808454,22558659,6427372
2021-04-30,805689,668961,136728,22139350,1770553,5876079,23227620,6565002
2021-05-01,336825,263026,73794,22392490,1812107,5915587,23490646,6641419
2021-05-02,265347,199675,65670,22588299,1849671,5945752,23690321,6708898
2021-05-03,452969,337919,115047,22907043,1920386,6007582,24028240,6825625
2021-05-04,844151,685150,158999,23534239,1983970,6157896,24713390,6987681
2021-05-05,1149059,920434,228624,24387011,2063088,6370467,25633824,7220903
2021-05-06,992968,772916,220048,25081448,2155369,6572087,26406740,7445581
